stop_id,stop_name,stop_lat,stop_lon
1,parada1,-7.131017557133953,-34.903586006705353
2,parada2,-7.131146956726324,-34.903381045191189
3,parada3,-7.161646486314585,-34.903954296674890
4,parada4,-7.161578787914359,-34.903698457206133
5,parada5,-7.164000563873256,-34.900966212947132
6,parada6,-7.165975243002549,-34.889234400387593
7,parada7,-7.165708403251983,-34.889221143978119
8,parada8,-7.168096202016376,-34.884848037597088
9,parada9,-7.167292499467495,-34.885995959309177
10,parada10,-7.169427491276680,-34.876702040768947
11,parada11,-7.169434738824943,-34.878351413749812
12,parada12,-7.168945332227618,-34.880373805521828
13,parada13,-7.160623807188729,-34.817181117071527
14,parada14,-7.163386942210090,-34.831163363303169
15,parada15,-7.164179120073110,-34.848746931858322
16,parada16,-7.167317511615155,-34.852986344240158
17,parada17,-7.169142141859385,-34.855974484561813
18,parada18,-7.167608526767473,-34.858578348966461
19,parada19,-7.168128218292118,-34.897028896748310
20,parada20,-7.168573713533865,-34.896676551430637
21,parada21,-7.174530465253017,-34.898538160571739
22,parada22,-7.182627519592002,-34.901055410434601
23,parada23,-7.189931082813761,-34.903422499878673
24,parada24,-7.193782121104300,-34.904704900796588
25,parada25,-7.195792277267950,-34.905344297221298
26,parada26,-7.200428509612273,-34.907122497313829
27,parada27,-7.195936589079002,-34.905583566325511
28,parada28,-7.193402041454735,-34.904757849605318
29,parada29,-7.189793268563755,-34.903601331354928
30,parada30,-7.183188286821682,-34.901455716947687
31,parada31,-7.174136564095206,-34.898639552780431
32,parada32,-7.166826962712642,-34.828202722986582
33,parada33,-7.165957720628216,-34.828024950683137
34,parada34,-7.161603171210068,-34.822675523264387
35,parada35,-7.161045808913755,-34.801604136556428
36,parada36,-7.160391380053255,-34.817434562987621
37,parada37,-7.162897607386286,-34.832626245804420
38,parada38,-7.161845270138187,-34.837351354561591
39,parada39,-7.163927905724594,-34.848812355094211
40,parada40,-7.165468811216653,-34.861892374855458
41,parada41,-7.128539965714499,-34.827526323269232
42,parada42,-7.140073398862466,-34.819099161302518
43,parada43,-7.143225686423924,-34.816360463094327
44,parada44,-7.146763897707655,-34.808711852627248
45,parada45,-7.146433323393149,-34.801954603340278
46,parada46,-7.150166488353357,-34.797188345460647
47,parada47,-7.155898356532991,-34.797295995550733
48,parada48,-7.162444360687680,-34.800712368020477
49,parada49,-7.164351753366757,-34.800776831948014
50,parada50,-7.170472184693335,-34.801135464405178
51,parada51,-7.198954898542585,-34.811360328371563
52,parada52,-7.198348973424588,-34.815634426020459
53,parada53,-7.197467075986219,-34.817454874529169
54,parada54,-7.196899229071769,-34.820668620453468
55,parada55,-7.197570978476033,-34.817430373619430
56,parada56,-7.198424615403969,-34.815670668297237
57,parada57,-7.198959466905444,-34.811958171475489
58,parada58,-7.201042451667583,-34.804372926396617
59,parada59,-7.170348735172356,-34.800861087463709
60,parada60,-7.163779780737853,-34.800521230248691
61,parada61,-7.162450482717039,-34.800446525624487
62,parada62,-7.155936331862046,-34.797057266565083
63,parada63,-7.150650910801020,-34.796634050756971
64,parada64,-7.146356699746015,-34.800831492120388
65,parada65,-7.146686933880164,-34.809033970295367
66,parada66,-7.146152476489618,-34.811500987872307
67,parada67,-7.146431084840631,-34.811664120519097
68,parada68,-7.143195901733513,-34.816317347729367
69,parada69,-7.140680593874478,-34.815983734204131
70,parada70,-7.143666973093694,-34.816453624348213
