trip_id,arrival_time,departure_time,stop_id,stop_sequence
510-1,,,628,18
510-1,,,1725,19
510-1,,,525,20
510-1,,,1727,21
510-1,,,531,22
510-1,,,535,23
510-1,,,1398,24
510-1,,,538,25
510-1,,,542,26
510-1,,,559,27
510-1,,,560,28
510-1,,,296,29
510-1,,,293,30
510-1,,,292,31
510-1,,,290,32
510-1,,,288,33
510-1,,,286,34
510-1,,,284,35
510-1,,,282,36
510-1,,,280,37
510-1,,,278,38
510-1,,,276,39
510-1,,,275,40
510-1,,,273,41
510-1,,,272,42
510-1,,,380,43
510-1,,,378,44
510-1,,,392,45
510-1,,,393,46
510-1,,,394,47
510-1,,,395,48
510-1,,,396,49
510-1,,,397,50
510-1,,,398,51
510-1,,,399,52
510-1,,,400,53
510-1,,,402,54
510-1,,,401,55
510-1,,,405,56
510-1,,,404,57
510-1,,,403,58
510-1,,,1631,59
510-1,,,388,60
510-1,,,389,61
510-1,,,390,62
510-1,,,391,63
510-1,,,1403,64
510-1,,,307,65
510-1,,,379,66
510-1,,,1493,67
510-1,,,270,68
510-1,,,271,69
510-1,,,274,70
510-1,,,277,71
510-1,,,1600,72
510-1,,,279,73
510-1,,,281,74
510-1,,,283,75
510-1,,,285,76
510-1,,,287,77
510-1,,,289,78
510-1,,,291,79
510-1,,,294,80
510-1,,,295,81
510-1,,,561,82
510-1,,,1707,83
510-1,,,541,84
510-1,,,539,85
510-1,,,537,86
510-1,,,536,87
510-1,,,534,88
510-1,,,526,89
510-1,,,524,90
510-1,,,523,91
510-1,,,1516,92
510-1,,,632,93
510-1,,,630,94
510-1,,,1587,95
510-1,,,612,96
510-1,,,608,97
510-1,,,1737,98
510-1,,,611,99
510-1,,,615,100
510-1,,,616,101
510-1,,,617,102
510-1,,,1513,103
510-1,,,1625,104
510-1,01:10:00,01:10:00,1791,105
510-22,08:00:00,08:00:00,623,0
510-22,,,1586,1
510-22,,,1450,2
510-22,,,1585,3
510-22,,,621,4
510-22,,,619,5
510-22,,,618,6
510-22,,,614,7
510-22,,,610,8
510-22,,,1736,9
510-22,,,609,10
510-22,,,607,11
510-22,,,1643,12
510-22,,,613,13
510-22,,,631,14
510-22,,,629,15
510-22,,,634,16
510-22,,,633,17
510-22,,,628,18
510-22,,,1725,19
510-22,,,525,20
510-22,,,1727,21
510-22,,,531,22
510-22,,,535,23
510-22,,,1398,24
510-22,,,538,25
510-22,,,542,26
510-22,,,559,27
510-22,,,560,28
510-22,,,296,29
510-22,,,293,30
510-22,,,292,31
510-22,,,290,32
510-22,,,288,33
510-22,,,286,34
510-22,,,284,35
510-22,,,282,36
510-22,,,280,37
510-22,,,278,38
510-22,,,276,39
510-22,,,275,40
510-22,,,273,41
510-22,,,272,42
510-22,,,380,43
510-22,,,378,44
510-22,,,392,45
510-22,,,393,46
510-22,,,394,47
510-22,,,395,48
510-22,,,396,49
510-22,,,397,50
510-22,,,398,51
510-22,,,399,52
510-22,,,400,53
510-22,,,402,54
510-22,,,401,55
510-22,,,405,56
510-22,,,404,57
510-22,,,403,58
510-22,,,1631,59
510-22,,,388,60
510-22,,,389,61
510-22,,,390,62
510-22,,,391,63
510-22,,,1403,64
510-22,,,307,65
510-22,,,379,66
510-22,,,1493,67
510-22,,,270,68
510-22,,,271,69
510-22,,,274,70
510-22,,,277,71
510-22,,,1600,72
510-22,,,279,73
510-22,,,281,74
510-22,,,283,75
510-22,,,285,76
510-22,,,287,77
510-22,,,289,78
510-22,,,291,79
510-22,,,294,80
510-22,,,295,81
510-22,,,561,82
510-22,,,1707,83
510-22,,,541,84
510-22,,,539,85
510-22,,,537,86
510-22,,,536,87
510-22,,,534,88
510-22,,,526,89
510-22,,,524,90
510-22,,,523,91
510-22,,,1516,92
510-22,,,632,93
510-22,,,630,94
510-22,,,1587,95
510-22,,,612,96
510-22,,,608,97
510-22,,,1737,98
510-22,,,611,99
510-22,,,615,100
510-22,,,616,101
510-22,,,617,102
510-22,,,1513,103
510-22,,,1625,104
510-22,09:40:00,09:40:00,1791,105
